2025-06-06 13:15:00,480 - INFO - [Epoch 68/100] Dataset: CHASEDB_1 | Loss: 3.0767 | Acc: 0.9677 | F1: 0.7682 | IoU: 0.6237 | Recall: 0.8480 | Specificity: 0.9758 | 
2025-06-06 13:15:02,230 - INFO - [Epoch 69/100] Dataset: CHASEDB_1 | Loss: 3.1323 | Acc: 0.9663 | F1: 0.7619 | IoU: 0.6154 | Recall: 0.8547 | Specificity: 0.9738 | 
2025-06-06 13:15:03,894 - INFO - [Epoch 70/100] Dataset: CHASEDB_1 | Loss: 3.0760 | Acc: 0.9683 | F1: 0.7715 | IoU: 0.6280 | Recall: 0.8496 | Specificity: 0.9763 | 
2025-06-06 13:15:05,697 - INFO - [Epoch 71/100] Dataset: CHASEDB_1 | Loss: 3.1193 | Acc: 0.9656 | F1: 0.7618 | IoU: 0.6152 | Recall: 0.8713 | Specificity: 0.9720 | 
2025-06-06 13:15:07,407 - INFO - [Epoch 72/100] Dataset: CHASEDB_1 | Loss: 3.0109 | Acc: 0.9678 | F1: 0.7709 | IoU: 0.6273 | Recall: 0.8601 | Specificity: 0.9750 | 
2025-06-06 13:15:09,252 - INFO - [Epoch 73/100] Dataset: CHASEDB_1 | Loss: 3.0822 | Acc: 0.9714 | F1: 0.7820 | IoU: 0.6420 | Recall: 0.8150 | Specificity: 0.9819 | 
2025-06-06 13:15:10,972 - INFO - [Epoch 74/100] Dataset: CHASEDB_1 | Loss: 2.9793 | Acc: 0.9624 | F1: 0.7496 | IoU: 0.5994 | Recall: 0.8920 | Specificity: 0.9672 | 
2025-06-06 13:15:12,757 - INFO - [Epoch 75/100] Dataset: CHASEDB_1 | Loss: 2.9668 | Acc: 0.9693 | F1: 0.7780 | IoU: 0.6367 | Recall: 0.8539 | Specificity: 0.9770 | 
2025-06-06 13:15:14,463 - INFO - [Epoch 76/100] Dataset: CHASEDB_1 | Loss: 2.9990 | Acc: 0.9676 | F1: 0.7692 | IoU: 0.6250 | Recall: 0.8576 | Specificity: 0.9750 | 
2025-06-06 13:15:16,315 - INFO - [Epoch 77/100] Dataset: CHASEDB_1 | Loss: 2.9910 | Acc: 0.9690 | F1: 0.7746 | IoU: 0.6321 | Recall: 0.8453 | Specificity: 0.9773 | 
2025-06-06 13:15:18,040 - INFO - [Epoch 78/100] Dataset: CHASEDB_1 | Loss: 2.9893 | Acc: 0.9714 | F1: 0.7802 | IoU: 0.6396 | Recall: 0.8049 | Specificity: 0.9826 | 
2025-06-06 13:15:19,756 - INFO - [Epoch 79/100] Dataset: CHASEDB_1 | Loss: 2.9648 | Acc: 0.9689 | F1: 0.7725 | IoU: 0.6293 | Recall: 0.8365 | Specificity: 0.9778 | 
2025-06-06 13:15:21,511 - INFO - [Epoch 80/100] Dataset: CHASEDB_1 | Loss: 2.8943 | Acc: 0.9670 | F1: 0.7698 | IoU: 0.6257 | Recall: 0.8742 | Specificity: 0.9733 | 
2025-06-06 13:15:23,220 - INFO - [Epoch 81/100] Dataset: CHASEDB_1 | Loss: 2.8258 | Acc: 0.9640 | F1: 0.7576 | IoU: 0.6097 | Recall: 0.8915 | Specificity: 0.9689 | 
